Country Name,Country Code,Series Name,Series Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,11944587,12293100,12654621,13030569,13421930,13829176,14252021,14689725,15141098,15605217,16081911,16571246,17072775,17586017,18110624,18646378,19193284,19751535,20321000,20903000,21497000
Burundi,BDI,"Population, total",SP.POP.TOTL,6525545,6704113,6909154,7131693,7364862,7607849,7862214,8126102,8397668,8675602,8958406,9245988,9540289,9844297,10160030,10487998,10827024,11175378,11531000,11891000,12255000
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,435709,442951,449930,456617,463032,469170,475060,480842,486671,492654,498856,505235,511748,518269,524743,531146,537497,543767,550000,556000,562000
Cambodia,KHM,"Population, total",SP.POP.TOTL,12405408,12637727,12856163,13066469,13273354,13477709,13679962,13883834,14093604,14312212,14541423,14780454,15026332,15274503,15521436,15766293,16009414,16249798,16487000,16719000,16946000
Cameroon,CMR,"Population, total",SP.POP.TOTL,15928910,16357602,16800865,17259322,17733410,18223674,18730282,19252666,19789919,20341241,20906388,21485266,22077298,22681858,23298368,23926539,24566045,25216237,25876000,26546000,27224000
Canada,CAN,"Population, total",SP.POP.TOTL,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36540268,37058856,37375000,37684000,37985000
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,43935,45351,46632,47902,49261,50740,52280,53836,55322,56672,57878,58958,59932,60848,61724,62569,63382,64174,65000,66000,66000
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3722018,3802128,3881181,3959875,4038382,4118069,4198010,4273366,4337625,4386768,4418636,4436415,4447942,4464175,4493170,4537687,4596028,4666377,4745000,4830000,4920000
Chad,TCD,"Population, total",SP.POP.TOTL,8678051,9019233,9373916,9734767,10096633,10457124,10818024,11183588,11560147,11952136,12360989,12784750,13220424,13663559,14110975,14561666,15016773,15477751,15947000,16426000,16915000
Channel Islands,CHI,"Population, total",SP.POP.TOTL,149097,149596,150068,150716,151678,153008,154636,156433,158178,159734,160998,162056,163038,164100,165385,166923,168665,170499,172000,174000,175000
Chile,CHL,"Population, total",SP.POP.TOTL,15516113,15684409,15849652,16014971,16182721,16354504,16530195,16708258,16886186,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160,18952000,19116000,19212000
China,CHN,"Population, total",SP.POP.TOTL,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,1397295000,1401379000,1404969000
Colombia,COL,"Population, total",SP.POP.TOTL,40255967,40875360,41483869,42075955,42647723,43200897,43737516,44254975,44750054,45222700,45663099,46076848,46497267,46969209,47520667,48171392,48901066,49648685,50339000,50883000,51266000
Comoros,COM,"Population, total",SP.POP.TOTL,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723871,741505,759390,777424,795592,813892,832322,851000,870000,888000
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,48428545,49871666,51425580,53068880,54785903,56578037,58453683,60411195,62448574,64563854,66755153,69020747,71358807,73767447,76244544,78789127,81398764,84068091,86791000,89561000,92378000
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3217933,3310387,3406922,3510468,3622775,3745141,3876119,4011486,4145391,4273731,4394844,4510198,4622761,4736974,4856095,4980999,5110702,5244363,5381000,5518000,5657000
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4034074,4100925,4164053,4225155,4285502,4345412,4404628,4463125,4520740,4577378,4633086,4688000,4742107,4795396,4847804,4899345,4949954,4999441,5048000,5094000,5139000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,16853026,17231539,17599610,17970494,18354514,18754916,19171237,19605569,20059147,20532950,21028655,21547188,22087505,22647683,23226143,23822714,24437469,25069229,25717000,26378000,27054000
Croatia,HRV,"Population, total",SP.POP.TOTL,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4089400,4071000,4052000,4034000
Cuba,CUB,"Population, total",SP.POP.TOTL,11164667,11199651,11229183,11250365,11261582,11261248,11251122,11236971,11226709,11225832,11236670,11257101,11282720,11306902,11324781,11335109,11339259,11338138,11333000,11327000,11318000
Curacao,CUW,"Population, total",SP.POP.TOTL,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159849,161000,162000,163000
Cyprus,CYP,"Population, total",SP.POP.TOTL,960276,976964,993563,1010408,1027662,1045507,1063713,1081563,1098083,1112612,1124833,1135046,1143866,1152285,1160985,1170187,1179680,1189265,1199000,1207000,1216000
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10625695,10629000,10631000,10631000
Denmark,DNK,"Population, total",SP.POP.TOTL,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5797446,5818000,5840000,5862000
Djibouti,DJI,"Population, total",SP.POP.TOTL,733015,746942,759641,771603,783254,794563,805451,816358,827823,840198,853674,868136,883293,898696,913993,929112,944097,958920,974000,988000,1002000
