Country Name,Country Code,Series Name,Series Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mali,MLI,"Population, total",SP.POP.TOTL,11271600,11616887,11982695,12369070,12775516,13203378,13651464,14113577,14581429,15049353,15514591,15979499,16449864,16934220,17438778,17965429,18512394,19077690,19658000,20251000,20856000
Malta,MLT,"Population, total",SP.POP.TOTL,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,425967,434558,445053,455356,467999,483530,485000,486000,487000
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,51422,52370,53456,54476,55258,55767,56051,56174,56250,56366,56531,56717,56938,57179,57439,57735,58058,58413,59000,59000,60000
Mauritania,MRT,"Population, total",SP.POP.TOTL,2702400,2778099,2857148,2939247,3024194,3111906,3202517,3296238,3393409,3494195,3598648,3706554,3817494,3930896,4046301,4163534,4282574,4403319,4526000,4650000,4775000
Mauritius,MUS,"Population, total",SP.POP.TOTL,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1265303,1268000,1270000,1273000
Mexico,MEX,"Population, total",SP.POP.TOTL,100298153,101684758,103081020,104514932,106005203,107560153,109170502,110815271,112463887,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788,127576000,128933000,130262000
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,107173,107030,106901,106625,106129,105371,104444,103543,102975,102911,103450,104506,105926,107446,108895,110215,111459,112640,114000,115000,116000
Moldova,MDA,"Population, total",SP.POP.TOTL,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549196,3545883,3536000,3525000,3513000
Monaco,MCO,"Population, total",SP.POP.TOTL,32470,32806,33153,33500,33843,34190,34525,34872,35226,35612,36024,36460,36901,37322,37718,38070,38392,38682,39000,39000,40000
Mongolia,MNG,"Population, total",SP.POP.TOTL,2419588,2443271,2468762,2496391,2526424,2558856,2593820,2631898,2673796,2719896,2770362,2824699,2881792,2940108,2998439,3056359,3113779,3170208,3225000,3278000,3329000
Montenegro,MNE,"Population, total",SP.POP.TOTL,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,622345,622000,622000,622000
Morocco,MAR,"Population, total",SP.POP.TOTL,29126330,29454768,29782884,30115214,30455561,30804683,31163673,31536811,31929087,32343389,32781850,33241898,33715693,34192347,34663603,35126296,35581294,36029138,36472000,36911000,37345000
Mozambique,MOZ,"Population, total",SP.POP.TOTL,18221888,18764155,19331100,19910552,20493925,21080110,21673316,22276596,22894710,23531574,24187487,24862648,25560725,26286163,27042002,27829942,28649007,29495962,30366000,31255000,32163000
Myanmar,MMR,"Population, total",SP.POP.TOTL,47225120,47702171,48148902,48564484,48949924,49301050,49621475,49929642,50250367,50600818,50990615,51413698,51852451,52280807,52680726,53045226,53382581,53708395,54045000,54410000,54806000
Namibia,NAM,"Population, total",SP.POP.TOTL,1823672,1851523,1879117,1907745,1938320,1971317,2006514,2043394,2081044,2118874,2156701,2194784,2233510,2273430,2314904,2358041,2402603,2448255,2495000,2541000,2587000
Nauru,NRU,"Population, total",SP.POP.TOTL,10215,10102,9994,9902,9849,9828,9842,9891,9939,10005,10057,10279,10821,11853,12475,13049,12876,12704,13000,13000,13000
Nepal,NPL,"Population, total",SP.POP.TOTL,24347106,24725627,25080872,25419344,25744500,26066693,26382581,26666576,26883535,27013212,27041437,26989862,26917906,26906926,27015031,27261131,27627124,28087871,28609000,29137000,29675000
Netherlands,NLD,"Population, total",SP.POP.TOTL,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231017,17280000,17330000,17381000
New Caledonia,NCL,"Population, total",SP.POP.TOTL,217324,221490,225296,228750,232250,235750,239250,242750,245950,249750,254350,259000,263650,268050,272400,276550,280350,284060,288000,291000,295000
New Zealand,NZL,"Population, total",SP.POP.TOTL,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900,4885500,4929000,4971000,5012000
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5145366,5219328,5292118,5364935,5438690,5513763,5590055,5667432,5745526,5824065,5903039,5982526,6062454,6142733,6223240,6303974,6384855,6465513,6546000,6625000,6702000
Niger,NER,"Population, total",SP.POP.TOTL,11751365,12189983,12647984,13125916,13624467,14143971,14685399,15250908,15843133,16464025,17114761,17795191,18504255,19240157,20001663,20788838,21602472,22442948,23311000,24207000,25131000
Nigeria,NGA,"Population, total",SP.POP.TOTL,125394046,128596076,131900631,135320422,138865016,142538308,146339977,150269623,154324933,158503197,162805071,167228767,171765769,176404902,181137448,185960289,190873311,195874740,200964000,206140000,211401000
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2042842,2048928,2053426,2057048,2060273,2063131,2065426,2067313,2069039,2070741,2072487,2074278,2076067,2077775,2079328,2080745,2081996,2082958,2083000,2083000,2083000
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,58321,58420,57947,57246,56542,55882,55219,54625,54193,53971,54012,54311,54784,55305,55780,56188,56562,56882,57000,58000,58000
Norway,NOR,"Population, total",SP.POP.TOTL,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5314336,5369000,5422000,5471000
Oman,OMN,"Population, total",SP.POP.TOTL,2294962,2334858,2386166,2445517,2511251,2580758,2657158,2750963,2876186,3041434,3251108,3498029,3764805,4027260,4267348,4479219,4665935,4829483,4975000,5107000,5223000
Pakistan,PAK,"Population, total",SP.POP.TOTL,145978402,149549700,153093373,156664697,160304008,164022627,167808105,171648986,175525609,179424641,183340592,187281475,191262919,195306825,199426964,203627284,207896686,212215030,216565000,220892000,225200000
Palau,PLW,"Population, total",SP.POP.TOTL,19386,19637,19809,19867,19781,19540,19158,18704,18285,17955,17745,17640,17606,17626,17665,17725,17808,17907,18000,18000,18000
Panama,PAN,"Population, total",SP.POP.TOTL,3089648,3149188,3209048,3269356,3330217,3391666,3453675,3516204,3579215,3642687,3706483,3770624,3835437,3901315,3968487,4037078,4106771,4176873,4246000,4315000,4382000
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,5974629,6098621,6223377,6354245,6494903,6646895,6808514,6976201,7144776,7310507,7472200,7631002,7788379,7946731,8107775,8271760,8438029,8606316,8776000,8947000,9119000
Paraguay,PRY,"Population, total",SP.POP.TOTL,5428444,5531962,5632983,5730549,5824096,5913209,5998427,6081296,6163972,6248020,6333976,6421512,6510276,6599526,6688746,6777872,6867062,6956071,7045000,7133000,7220000
Peru,PER,"Population, total",SP.POP.TOTL,26799285,27100968,27372226,27624213,27866145,28102056,28333052,28562317,28792655,29027674,29264318,29506788,29773987,30090359,30470734,30926032,31444297,31989256,32510000,32972000,33359000
Philippines,PHL,"Population, total",SP.POP.TOTL,79672873,81365258,83051971,84710542,86326250,87888675,89405482,90901965,92414158,93966780,95570047,97212638,98871552,100513138,102113212,103663927,105173264,106651922,108117000,109581000,111047000
Poland,POL,"Population, total",SP.POP.TOTL,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37978548,37895000,37806000,37711000
Portugal,PRT,"Population, total",SP.POP.TOTL,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10281762,10237000,10195000,10153000
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473166,3406495,3325001,3195153,3189000,3184000,3177000
Qatar,QAT,"Population, total",SP.POP.TOTL,615012,640868,681788,753334,865416,1022711,1218434,1436665,1654950,1856327,2035871,2196074,2336574,2459198,2565710,2654374,2724724,2781677,2832000,2881000,2931000
Romania,ROU,"Population, total",SP.POP.TOTL,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19702332,19587491,19473936,19358000,19247000,19139000
Russian Federation,RUS,"Population, total",SP.POP.TOTL,145976083,145306046,144648257,144067054,143518523,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396,144496740,144478050,144369000,144222000,144033000
Rwanda,RWA,"Population, total",SP.POP.TOTL,8231156,8427060,8557161,8680524,8840215,9043337,9273757,9524534,9782770,10039338,10293331,10549678,10811543,11083635,11369071,11668818,11980937,12301939,12627000,12952000,13277000
Samoa,WSM,"Population, total",SP.POP.TOTL,175392,176407,177484,178590,179727,180876,182046,183263,184556,185949,187469,189088,190717,192221,193513,194535,195352,196130,197000,198000,200000
San Marino,SMR,"Population, total",SP.POP.TOTL,27812,28175,28562,28940,29324,29700,30063,30434,30816,31229,31661,32105,32553,32948,33272,33504,33671,33785,34000,34000,34000
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,144755,147447,150415,153737,157472,161681,166300,171120,175876,180371,184524,188404,192087,195727,199432,203227,207089,211028,215000,219000,223000
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,21202642,21805313,22456649,23132682,23816183,24498310,25184597,25888541,26630303,27421461,28267685,29155187,30052518,30916994,31717667,32442572,33099147,33699947,34269000,34814000,35341000
Senegal,SEN,"Population, total",SP.POP.TOTL,10036104,10283699,10541467,10810083,11090116,11382268,11687080,12004701,12335084,12678148,13033809,13401991,13782420,14174731,14578459,14993528,15419381,15854360,16296000,16744000,17196000
Serbia,SRB,"Population, total",SP.POP.TOTL,7503433,7496522,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982084,6955000,6929000,6902000
Seychelles,SYC,"Population, total",SP.POP.TOTL,81202,83723,82781,82475,82858,84600,85033,86956,87298,89770,87441,88303,89949,91359,93419,94677,95843,96762,97000,98000,98000
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,4754072,4965766,5201070,5433991,5645624,5829237,5989633,6133603,6272734,6415634,6563240,6712581,6863980,7017144,7171914,7328838,7488431,7650154,7813000,7977000,8141000
Singapore,SGP,"Population, total",SP.POP.TOTL,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5710000,5772000,5823000
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,30600,30777,31472,32488,33011,33441,33811,33964,34238,34056,33435,34640,36607,37685,38825,39969,40574,40654,..,..,..
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5447011,5448000,5448000,5447000
Slovenia,SVN,"Population, total",SP.POP.TOTL,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2067372,2067000,2067000,2066000
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,423944,435432,447017,458539,469918,481078,492132,503360,515181,527861,541521,556064,571335,587079,603118,619437,636038,652858,670000,687000,704000
Somalia,SOM,"Population, total",SP.POP.TOTL,9186725,9501342,9815412,10130243,10446863,10763905,11080121,11397188,11717692,12043883,12376302,12715510,13063706,13423576,13797201,14185613,14589119,15008154,15443000,15893000,16360000
South Africa,ZAF,"Population, total",SP.POP.TOTL,45571274,46150913,46719196,47291610,47880601,48489459,49119759,49779471,50477011,51216964,52004172,52834005,53689236,54545991,55386367,56203654,57000451,57779622,58558000,59309000,60042000
South Sudan,SSD,"Population, total",SP.POP.TOTL,6447793,6688226,6935676,7213351,7535932,7907406,8315139,8736939,9142259,9508364,9830698,10113647,10355036,10554883,10715658,10832512,10910759,10975920,11062000,11194000,11381000
Spain,ESP,"Population, total",SP.POP.TOTL,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46483569,46593236,46723749,46719000,46711000,46685000
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,18911730,19062482,19224037,19387153,19544988,19695972,19842044,19983984,20123508,20261737,20398670,20425000,20585000,20778000,20970000,21203000,21444000,21670000,21757000,21837000,21908000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,44599,45165,45746,46324,46857,47339,47778,48185,48599,49016,49447,49887,50331,50774,51203,51625,52045,52441,53000,53000,54000
St. Lucia,LCA,"Population, total",SP.POP.TOTL,158179,159392,160530,161816,163417,165381,167639,170011,172221,174085,175544,176646,177513,178296,179126,180024,180955,181889,183000,184000,184000
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,29853,30910,32053,33186,34248,35237,36137,36885,37377,37582,37446,37009,36453,36015,35858,36065,36560,37264,..,..,..
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,107896,108097,108326,108512,108614,108603,108518,108393,108287,108255,108316,108435,108622,108861,109148,109459,109827,110210,111000,111000,111000
Sudan,SDN,"Population, total",SP.POP.TOTL,27971082,28704778,29460519,30214193,30949516,31661823,32360621,33060837,33783788,34545013,35349681,36193783,37072550,37977655,38902950,39847440,40813396,41801533,42813000,43849000,44909000
Suriname,SUR,"Population, total",SP.POP.TOTL,476579,482235,487942,493679,499464,505295,511181,517123,523111,529131,535179,541245,547291,553273,559143,564888,570496,575991,581000,587000,592000
Sweden,SWE,"Population, total",SP.POP.TOTL,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10183175,10251000,10319000,10389000
Switzerland,CHE,"Population, total",SP.POP.TOTL,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8516543,8580000,8641000,8700000
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,16766561,17084632,17415214,17827825,18361176,19059258,19878254,20664038,21205873,21362529,21082966,20442541,19584274,18715672,17997408,17453933,17068002,16906283,17070000,17501000,18276000
Tajikistan,TJK,"Population, total",SP.POP.TOTL,6318513,6426867,6541547,6662389,6789321,6922587,7062672,7209930,7364753,7527394,7697510,7874835,8059769,8252833,8454028,8663579,8880268,9100837,9321000,9538000,9750000
Tanzania,TZA,"Population, total",SP.POP.TOTL,34385856,35334788,36337782,37379767,38450320,39548663,40681414,41853944,43073834,44346525,45673338,47052481,48482266,49959822,51482633,53050790,54663906,56318348,58005000,59734000,61498000
Thailand,THA,"Population, total",SP.POP.TOTL,63539196,64069087,64549866,64995299,65416189,65812536,66182067,66530984,66866839,67195028,67518382,67835957,68144501,68438730,68714511,68971331,69209858,69428524,69626000,69800000,69951000
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,901214,922694,947108,971893,995135,1016432,1036392,1055431,1074277,1093523,1113151,1132994,1153295,1174331,1196302,1219288,1243261,1267972,1293000,1318000,1344000
Togo,TGO,"Population, total",SP.POP.TOTL,5062567,5197031,5330639,5467766,5611640,5762880,5920359,6083420,6250835,6421679,6595943,6773807,6954721,7137997,7323158,7509952,7698475,7889094,8082000,8279000,8478000
Tonga,TON,"Population, total",SP.POP.TOTL,98487,99022,99589,100218,100905,101706,102581,103379,103890,103986,103562,102737,101768,101028,100781,101133,101998,103197,104000,106000,107000
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1271632,1277213,1283559,1290123,1296502,1302561,1308451,1314443,1320930,1328147,1336178,1344817,1353700,1362342,1370328,1377564,1384072,1389858,1395000,1399000,1403000
Tunisia,TUN,"Population, total",SP.POP.TOTL,9793903,9871251,9945277,10022277,10106771,10201214,10304726,10414433,10525694,10635244,10741880,10847002,10952951,11063201,11179949,11303946,11433443,11565204,11695000,11819000,11936000
Turkey,TUR,"Population, total",SP.POP.TOTL,64192243,65145367,66089402,67010930,67903469,68756810,69581848,70418604,71321399,72326988,73443863,74653016,75928564,77231907,78529409,79821724,81101892,82319724,83430000,84339000,85043000
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,4564083,4610005,4655743,4703401,4754646,4810109,4870141,4935767,5007954,5087213,5174085,5267900,5366375,5466328,5565287,5662372,5757669,5850908,5942000,6031000,6118000
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,21573,23232,25011,26700,28180,29391,30385,31202,31934,32660,33377,34066,34731,35369,35981,36559,37115,37665,38000,39000,39000
Tuvalu,TUV,"Population, total",SP.POP.TOTL,9484,9596,9726,9869,10000,10120,10221,10314,10424,10530,10633,10739,10857,10972,11099,11225,11370,11508,12000,12000,12000
Uganda,UGA,"Population, total",SP.POP.TOTL,24388968,25167257,25980552,26821297,27684585,28571475,29486338,30431736,31411096,32428167,33476919,34559168,35695246,36912148,38225453,39647506,41162465,42723139,44270000,45741000,47124000
Ukraine,UKR,"Population, total",SP.POP.TOTL,48683865,48202500,47812950,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645,44831135,44622516,44391000,44158000,43925000
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,3302719,3478777,3711932,4068570,4588225,5300174,6168838,7089487,7917372,8549988,8946777,9141596,9197910,9214175,9262900,9360980,9487203,9630959,9771000,9890000,9991000
United Kingdom,GBR,"Population, total",SP.POP.TOTL,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66058859,66488991,66856000,67224000,67583000
United States,USA,"Population, total",SP.POP.TOTL,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,329534000,331915000,334304000
Uruguay,URY,"Population, total",SP.POP.TOTL,3325473,3326040,3323668,3321476,3321803,3325401,3331749,3340221,3349676,3359275,3368934,3378974,3389439,3400434,3412009,3424132,3436646,3449299,3462000,3474000,3485000
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32955400,33360000,33749000,34122000
Vanuatu,VUT,"Population, total",SP.POP.TOTL,189219,193920,198959,204127,209282,214370,219472,224704,230247,236211,242653,249499,256635,263888,271130,278330,285510,292680,300000,307000,314000
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,24646472,25100408,25551624,25996594,26432447,26850194,27247610,27635832,28031009,28439940,28888369,29362449,29783571,30045134,30081829,29846179,29390409,28870195,28516000,28436000,28705000
Vietnam,VNM,"Population, total",SP.POP.TOTL,80742499,81534407,82301656,83062821,83832661,84617540,85419591,86243413,87092252,87967651,88871561,89802487,90753472,91714595,92677076,93638724,94596642,95540395,96462000,97339000,98169000
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,108549,108510,108506,108467,108454,108371,108339,108399,108405,108358,108292,108191,108044,107884,107710,107510,107268,106977,107000,107000,107000
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4690000,4813000,4938000
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,17918373,18443691,18985000,19540098,20107409,20687646,21282515,21892146,22516460,23154855,23807588,24473178,25147109,25823485,26497889,27168210,27834821,28498687,29162000,29826000,30491000
Zambia,ZMB,"Population, total",SP.POP.TOTL,10692193,10971698,11256743,11550642,11856247,12173514,12502958,12848530,13215139,13605984,14023193,14465121,14926504,15399753,15879361,16363507,16853688,17351822,17861000,18384000,18921000
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,11923914,11954290,11982224,12019912,12076699,12155491,12255922,12379549,12526968,12697723,12894316,13115131,13350356,13586681,13814629,14030390,14236745,14439018,14645000,14863000,15092000
